2026-03-07T15:03:03 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T15:03:03 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T15:03:04 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T15:03:04 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T15:03:04 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T15:03:04 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T15:03:04 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T15:03:04 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T15:03:04 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T15:03:04 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T15:03:05 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T15:03:05 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T15:03:05 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T15:03:05 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T15:03:05 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T15:03:05 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T15:03:05 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T15:03:25 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
